subj_idx,rwd_prob,rwd_pen,response,rt,slxn_err,peak_V
2,0.3,2,0,0.0653350716133356,71.6104302155551,15.7005823327602
2,0.3,2,1,0.327311735928853,20.4128366439509,14.5281961010494
2,0.3,2,0,0.322188883114624,59.6447739071535,2.45738632084216
2,0.3,2,0,0.289526662181615,24.5066923247559,10.2720405907617
2,0.3,2,1,0.161989917242938,18.9946428150843,6.38760241572773
2,0.3,2,0,0.257993684090524,23.1567113141761,7.23536916817454
2,0.3,2,0,0.38818882791996,50.5723694106279,5.15109002316013
2,0.3,2,1,0.228824763562039,29.3736357483774,15.1536879135644
2,0.3,2,0,0.262090836982781,46.1711096214926,6.83539374229783
2,0.3,2,1,0.229916858092733,34.9166884407488,0.630953494166302
2,0.3,2,1,0.392149787227817,67.1913368723794,7.6868620329749
2,0.3,2,0,0.294624175209367,45.7772952844673,3.67694203848398
2,0.3,2,0,0.26212373841993,43.6350840307501,15.3686222126364
2,0.3,2,1,0.25925428378861,30.1086550360527,3.8316022775363
2,0.3,2,1,0.389301247227428,30.3108930924985,40.5361926253992
2,0.3,2,0,0.353505587653011,79.4300546358276,2.24918426083605
2,0.3,2,1,1.48139690303803,75.1005078507195,0.0040641890343979
2,0.3,2,1,0.359971038567468,11.5797059921325,1.65643238846983
2,0.3,2,1,0.192989586412283,53.505140946821,4.20963499085722
2,0.3,2,0,0.0959503892023491,52.4818897181293,2.88719854258262
2,0.3,2,0,0.389625557310676,75.375549401043,3.67538758742961
2,0.3,2,0,0.453166997064898,53.2790808209254,2.85367330338663
2,0.3,2,0,0.52079460389328,63.2676010611028,10.6541877569618
2,0.3,2,0,0.260100648364569,63.9305332856537,4.33661636563396
2,0.3,2,1,0.196193266023205,49.4012771838366,13.1223421920788
2,0.3,2,1,0.590951954803162,25.1224718824548,10.2046621166524
2,0.3,2,1,0.196710647593998,37.9177191964662,14.0085504387413
2,0.3,2,1,0.161688352462799,16.1855514223295,33.07584768689
2,0.3,2,1,0.28855807791996,9.95156304083309,0.561283065144723
2,0.3,2,0,0.258034159230108,62.5337891860075,3.29031747795044
2,0.3,2,0,0.227150319946105,43.9013110227087,2.66090374794009
2,0.3,2,0,0.228881479019458,33.9117316316493,6.5027367645934
2,0.3,2,1,0.226211517480997,75.8939714074573,7.93814914165678
2,0.3,2,0,0.3187285175792,69.1044654462657,0.876089855223493
2,0.3,2,0,0.288037646525176,60.8118749699378,2.03127783372555
2,0.3,2,1,0.421821851766389,52.8903841916067,4.09283367473618
2,0.3,2,0,0.258013826491699,37.3948814106181,1.43380831666143
2,0.3,2,0,0.45929133720239,90.8856188891022,1.37422884226429
2,0.3,2,1,0.355111196614182,54.8529093174756,7.96828075634943
2,0.3,2,0,0.226929429465721,23.543498405917,13.2335477694604
2,0.3,2,0,0.226500153550942,18.3852094015817,0.543680262756317
2,0.3,2,1,0.229167307166229,40.2170061526176,23.6717298873222
2,0.3,2,1,0.419799810758046,97.1812008215023,2.51361615083521
2,0.3,2,1,0.195144329396335,18.4169256741264,6.10729475332973
2,0.3,2,0,0.29053092655445,32.9078039310956,5.93217125070368
2,0.3,2,1,0.261431016981858,24.7879825587165,1.85139959402739
2,0.3,2,1,0.191009941527074,30.3278462374822,4.36807508257592
2,0.3,2,1,0.226305408019985,114.063045725899,1.7952764114178
2,0.3,2,0,0.161712046616304,71.9297645542067,6.04723196544179
2,0.3,2,0,0.29579429378592,51.5658645227815,7.26014718616114
2,0.3,2,1,0.388844500909971,79.7434331978236,9.51988949398619
2,0.3,2,0,0.356787438773291,56.6911588479124,2.50271772427955
2,0.3,2,0,0.35351554944816,17.2282035382961,2.1464861083216
2,0.3,2,0,0.259841773653303,63.6868907958099,12.7727469385473
2,0.3,2,0,0.22864304122416,13.6136800942148,11.5236899278004
2,0.3,2,0,0.194891439829178,92.5201562496631,19.6675939638314
2,0.3,2,0,0.19493821168704,10.1828615486953,10.4488485893979
2,0.3,2,0,0.648122894487158,53.4681886785144,0.595737451163529
2,0.3,2,0,0.255816764968214,52.1977511323928,3.58814595184582
2,0.3,2,1,0.585823900323799,57.1229993830431,8.05045793339344
2,0.3,2,0,0.32686526214317,39.9647711160711,1.86636029310144
2,0.3,2,1,0.288573103719769,25.1993212438382,1.56837353179529
2,0.3,2,0,0.258002477791023,49.1628115980195,5.01870560579606
2,0.3,2,0,0.420061988154725,48.6545630246427,0.948231097667409
2,0.3,2,1,0.224882702477542,2.55290177707432,9.16982024917243
2,0.3,2,0,0.16124406079161,94.2794889770851,15.8353205443208
2,0.3,2,0,0.226932290265745,103.559021059473,14.3011368532198
2,0.3,2,0,0.19323057594432,41.5208144459136,5.13094770074372
2,0.3,2,0,0.22619105387059,25.238855510953,13.4872898418179
2,0.3,2,0,0.260543930813599,29.6235979239541,4.14618675084851
2,0.3,2,0,0.224634317337277,72.0203529209324,5.7291655432352
2,0.3,2,0,0.291264174950677,25.3466200945954,1.65129607005644
2,0.3,2,0,0.257686999610527,91.6203966607678,2.50131362276268
2,0.3,2,0,0.327499040771027,23.5293498867884,1.90394195430959
2,0.3,2,1,0.161524990461668,15.7674790106427,9.33773975723217
2,0.3,2,0,0.514702408699598,37.0078292931546,0.45007282620132
2,0.3,2,0,0.193407476164023,35.4351520658988,5.82809153996321
2,0.3,2,1,0.26079352216496,86.9913656164066,7.29457189697515
2,0.3,2,0,0.227160648757581,19.8959363862388,2.9623030633396
2,0.3,2,0,0.225968677503718,4.81338812040241,2.92723092815663
2,0.3,2,0,0.194808278719975,14.5332110858368,2.01702728090312
