subj_idx,rwd_prob,stableVar,response,rt,slxn_err,peak_V
696,3,3,1,0.226746384664856,45.2295985939372,36.5393600825888
696,3,2,1,0.294753728792479,44.9617407132203,33.2396488944167
696,3,2,1,0.358352554957111,53.0309094148117,4.7699902377007
696,3,3,1,0.328423338035761,24.2657681115561,7.72727404479696
696,3,0,0,0.0651458345971108,20.3369664285527,2.99349131321539
696,3,2,0,0.0979749473524609,89.4149612563092,1.20069709142234
696,3,0,0,0.429113063005853,78.4671572705943,5.35515171980998
696,3,1,1,0.622372056615035,61.9458370062431,9.25348758899626
696,3,0,0,0.725307186013773,24.9197903810712,2.43437838358495
696,3,1,1,0.749005240812368,48.9850086002817,0.582961674276937
696,3,2,1,0.523873450185415,57.4113299788739,1.75675464082239
696,3,2,1,0.460173529586792,40.7406797167235,9.54961523083422
696,3,2,1,0.495168319711159,34.3848595589984,16.1795739033194
696,3,1,1,0.326599280759281,53.9173235433261,4.34336722510984
696,3,3,1,0.292739387335832,28.1668416942801,5.89855810778607
696,3,1,0,0.560152400231425,43.0018462385308,10.8084598940806
696,3,1,0,0.390798417259504,26.7894252417484,5.35538571800061
696,3,3,1,0.706930292763424,28.0866155825283,0
696,3,1,1,0.426804060708778,59.0081998170438,4.29641314673604
696,3,2,0,0.393945291672804,72.7786550682557,11.1358444794259
696,3,1,1,0.261486656797647,46.3774704042858,7.7881056731398
696,3,2,1,0.422217593618035,14.1127795885882,3.0232864728205
696,3,0,0,0.361069592495964,70.9314520877936,8.38402783293939
696,3,1,1,0.393754370567352,68.9177767831378,4.54721482471041
696,3,2,1,0.261437804231245,60.3661762414086,6.07439441436053
696,3,3,1,0.493441906066132,13.2617948457163,9.08948419725605
696,3,3,0,0.360039209707841,101.91562107694,9.97037874335718
696,3,0,0,0.425318658383019,29.1629443217691,0.680186724327638
696,3,3,1,0.492511746111024,51.7752335961307,8.02287446833694
696,3,3,1,0.162576378304438,10.2849543887002,22.0706465569292
696,3,0,1,0.161956494384699,49.6503564727909,14.954782766678
696,3,1,0,0.42334270613122,40.2133443023349,3.24241113480369
696,3,0,0,0.487950597156076,16.9736399931516,1.94778633432672
696,3,2,1,0.258587566754828,24.3361707189427,6.25917590208252
696,3,1,0,0.356782641583597,27.6859383906015,2.67847260331389
696,3,0,0,0.327528135623847,34.1135923943169,5.46082403901239
696,3,0,0,0.293831719674737,62.9534432786155,6.87622652627024
696,3,0,0,0.192270300666785,27.6317345517739,7.29915030309093
696,3,0,0,0.361940923294781,79.4248773433672,12.9600036103217
696,3,3,1,0.392348987305439,77.8703190476988,20.3460398200933
696,3,2,1,0.325108883603115,24.8981516052246,2.96892643458301
696,3,2,1,0.259699739900479,51.0345310388203,6.78305262008583
696,3,2,0,1.03986735355377,71.0866190714685,0
696,3,0,0,0.48865716385938,52.1318852890225,2.91585550451071
696,3,1,1,0.552929983809142,28.1050932683899,1.58370069436693
696,3,1,1,0.358370127165462,58.0279706660474,1.61085562210738
696,3,1,0,0.423967292456497,12.5341160910594,2.57561136737342
696,3,0,0,0.325886460403757,24.5454703396796,1.26049664252465
696,3,1,0,0.420146130078425,35.1924264025466,0.937249059405719
696,3,1,0,0.291987774570166,37.9590417625345,3.38529584453641
696,3,3,0,0.296279141972125,42.7268800912282,2.75592436448969
696,3,2,1,0.229878206886697,48.013545499105,10.6416987202152
696,3,3,1,0.262886437214087,24.5669511065497,7.01233343710722
