,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,0.866263030628,0.0599644904296,0.75993935771,0.825428053121,0.861385453888,0.90330463594,0.994554636856,0.00167483805412
a_std,0.254680434726,0.0505079061614,0.180481077536,0.218888730567,0.247347444775,0.282527682501,0.373605367146,0.00152139426239
a_subj.696,0.93125495155,0.0183265502284,0.897236208916,0.919110994999,0.930298166942,0.944109670766,0.969667717582,0.000610280581915
a_subj.697,0.808847600591,0.0175744759352,0.774831904672,0.796425878134,0.808967901087,0.820776051527,0.842747674923,0.000631038454965
a_subj.698,0.833365531397,0.0197023552056,0.795317464042,0.820504159429,0.83345791561,0.846155816258,0.873467935123,0.000802831241292
a_subj.699,0.858570887171,0.0198446878282,0.822005963387,0.844663983711,0.857857677524,0.870984615394,0.898957120842,0.000771202854902
a_subj.701,0.422237277963,0.00966770764549,0.403989639141,0.415632822093,0.422099994457,0.428792477189,0.442093036708,0.000445898185264
a_subj.702,0.917113581909,0.0258010689841,0.868274360716,0.899930637957,0.916335787665,0.933611765643,0.972780022288,0.00128092199537
a_subj.703,0.847583089489,0.0206322752972,0.808425302577,0.833281378865,0.847132956673,0.861285691673,0.89073204359,0.000885477524498
a_subj.704,1.10844434518,0.0337337544233,1.04335600532,1.08561716843,1.10831914428,1.13248218359,1.17618847365,0.00182076762514
a_subj.711,1.03820545716,0.0191957964523,1.00234386845,1.02518093491,1.03745180188,1.05080813588,1.07671950208,0.000671676763637
a_subj.712,0.832584467446,0.0198145539948,0.795151309187,0.818859103933,0.831627891801,0.846240836815,0.872389943929,0.000726359919832
a_subj.713,0.543490065493,0.0114563177263,0.522287144913,0.535450708941,0.543356865589,0.551591293733,0.566948599854,0.000467123857202
a_subj.714,0.755815243817,0.0183337138258,0.720710468221,0.743721558764,0.755082728443,0.767895722134,0.793638778312,0.000748611872704
a_subj.715,1.18014616421,0.0249388945698,1.13030684441,1.16372859884,1.17919818211,1.19655314913,1.22867238913,0.000762838464157
