,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.0156350519,0.106468100471,0.833706456272,0.944222714756,1.00384777326,1.07498915459,1.2506792311,0.0036728516246
a_std,0.398404116618,0.103823499772,0.256537308165,0.326583288303,0.378569397326,0.451688886983,0.643708060992,0.00442141771691
a_subj.2,0.736658688443,0.0157512199071,0.7055266873,0.725975988328,0.736614903335,0.747333423535,0.768048975324,0.000606828078507
a_subj.3,0.985280907796,0.0420795932759,0.910526057192,0.955350885791,0.984462992787,1.01187735364,1.07085620816,0.0028530707657
a_subj.4,0.95267566536,0.0217435625199,0.909864096682,0.937989879116,0.952350271876,0.96722133872,0.995682095614,0.000800778759948
a_subj.5,0.717474208894,0.0213366300473,0.67794443792,0.703603705497,0.716832510597,0.730732539576,0.761832796771,0.00103172747389
a_subj.7,0.751014841936,0.0150669816337,0.722122109703,0.74058565593,0.750803623532,0.761234717712,0.781008305956,0.000512352758637
a_subj.8,0.679785242518,0.0132984774075,0.65461604262,0.670691242472,0.679430620428,0.68867465753,0.706692926171,0.000434328010742
a_subj.9,0.731996791802,0.0215073205627,0.694888654396,0.717151940232,0.729681955398,0.745003463354,0.778369786548,0.00132976592556
a_subj.10,1.95904295798,0.116701166752,1.75340741163,1.8766637721,1.95362716144,2.03838662601,2.19660915162,0.00961272280027
a_subj.12,0.936374718908,0.0629031875158,0.842048811674,0.891889156471,0.92752920809,0.971221229677,1.07792743071,0.00531622837391
a_subj.13,0.755925129465,0.018297902507,0.721766195467,0.743420681741,0.755150665831,0.76821664479,0.792947001931,0.000749939067764
a_subj.14,0.958743417965,0.0263627021327,0.908969106318,0.940690492248,0.95795681305,0.975967477352,1.0130040393,0.00130337601204
a_subj.15,0.965700124055,0.0209112176016,0.924968988757,0.951553779661,0.966133346971,0.979724184896,1.00682896624,0.00081711518713
a_subj.16,0.850047292722,0.0222379659651,0.807605544554,0.835078131273,0.8497224326,0.865415585287,0.893317371991,0.0011129376917
a_subj.17,0.788184956467,0.0190307724912,0.753444871863,0.774679982704,0.787864042081,0.800430141395,0.826934103921,0.00073114460822
a_subj.19,2.10304437489,0.149664186422,1.84048701785,1.99812945306,2.09304832578,2.19618736396,2.42499109541,0.0132623030044
a_subj.20,0.88628913992,0.0251825361523,0.839714520195,0.869487171006,0.885217647416,0.903164355931,0.934742533868,0.00123100352585
v(1.0.0.15),-4.15381585933,0.615622778117,-5.33041298757,-4.57532302286,-4.18181289221,-3.73994703023,-2.89432457757,0.0150603060977
v(1.0.0.3),-3.1028339597,0.607644805623,-4.31911471182,-3.51061214297,-3.10209692414,-2.67940064363,-1.94038842612,0.0159322395163
v(1.0.0.7),-0.754798153348,0.601432982845,-1.95671713966,-1.16439650168,-0.734253533385,-0.346556574293,0.458253302598,0.0127414366552
v(1.0.0.85),2.47349834354,0.604756041143,1.26896242607,2.07122513374,2.47197569215,2.90446813455,3.60098620675,0.0144387048575
v(2.0.0.15),-3.86048235184,0.612128698368,-5.02071849159,-4.27664740543,-3.87993548422,-3.44858255734,-2.62413647725,0.01509606343
v(2.0.0.3),-2.81827073939,0.59585254842,-4.02321479036,-3.2170104559,-2.80446673551,-2.42380316838,-1.68054598853,0.0132249727249
v(2.0.0.7),2.45451365965,0.609705063875,1.26432084584,2.0184537373,2.44635753446,2.86713150255,3.68312859383,0.0161955141184
v(2.0.0.85),4.45810753913,0.613598688083,3.19077718679,4.05816988198,4.47127850274,4.88278359585,5.65122777773,0.0141293431487
v_std,2.42032373162,0.163347857712,2.1317954686,2.30324630599,2.41461117558,2.52560150601,2.76495551285,0.00393080174927
v_subj(1.0.0.15).2.0,-6.92581507199,0.628129304389,-8.17977063706,-7.34346117344,-6.92094057434,-6.48533342326,-5.7100967274,0.0256909276034
v_subj(1.0.0.15).3.0,-3.07317205698,0.351172298943,-3.75872416844,-3.30548455554,-3.06722555692,-2.83276002294,-2.40111591632,0.0124770930426
v_subj(1.0.0.15).4.0,-2.65873741977,0.376462132526,-3.40818727021,-2.89857744203,-2.66323266338,-2.40829927591,-1.93182977061,0.0135117220406
v_subj(1.0.0.15).5.0,-5.97574916231,0.572947988554,-7.10918600575,-6.34876860367,-5.96814399927,-5.58852351306,-4.86098412816,0.0232145416241
v_subj(1.0.0.15).7.0,-4.62541717515,0.422759172255,-5.46496411841,-4.90202771737,-4.62955002825,-4.35668495063,-3.78761077502,0.0138210483549
v_subj(1.0.0.15).8.0,-3.35410464552,0.392674276023,-4.13585882171,-3.611313442,-3.35623723418,-3.09615828299,-2.58074430688,0.0128056939362
v_subj(1.0.0.15).9.0,-4.42408161849,0.534336920959,-5.53402172197,-4.77701945631,-4.42294234855,-4.05056624209,-3.39503429637,0.0218532882647
v_subj(1.0.0.15).10.0,-4.75674982215,0.433251022209,-5.60677033384,-5.05373446061,-4.74307331082,-4.45909210202,-3.91505070411,0.0235040435383
v_subj(1.0.0.15).12.0,-4.37540184748,0.496257008462,-5.46368734115,-4.68350676638,-4.36132326074,-4.02460285287,-3.44592576151,0.0269604877105
v_subj(1.0.0.15).13.0,-2.8105633801,0.404913317604,-3.57810541365,-3.07603289859,-2.81925554535,-2.5316769657,-2.01324135385,0.0144120172715
v_subj(1.0.0.15).14.0,-2.98116231193,0.331174124244,-3.62094213461,-3.21195332785,-2.99286637966,-2.75280484031,-2.31911570317,0.0118530421816
v_subj(1.0.0.15).15.0,-4.95461539481,0.528276668507,-6.03968258191,-5.31442171805,-4.93699937026,-4.579761341,-3.91822157729,0.022704517941
v_subj(1.0.0.15).16.0,-4.70875632032,0.473248366795,-5.64359920591,-5.01371530129,-4.70530738635,-4.39132902106,-3.77749718083,0.0177034974423
v_subj(1.0.0.15).17.0,-5.10260601359,0.488954734878,-6.08537455071,-5.40905645938,-5.10324644858,-4.77954390853,-4.14201024291,0.0202162988928
v_subj(1.0.0.15).19.0,-5.31296637618,0.455510719522,-6.29434080946,-5.60846800795,-5.27494686349,-4.9989716267,-4.47515326655,0.0257418864166
v_subj(1.0.0.15).20.0,-4.01618269978,0.385645695738,-4.77098585719,-4.2741073085,-4.01331756236,-3.7573485288,-3.26223471002,0.0149174367677
v_subj(1.0.0.3).2.0,-3.65440317083,0.374244748447,-4.36658133971,-3.90635553333,-3.66210458265,-3.41020171306,-2.9042500616,0.010507915355
v_subj(1.0.0.3).3.0,-4.91870696632,0.469794020005,-5.87884567462,-5.21624901894,-4.9019329857,-4.60344907852,-4.02892522036,0.0185612470658
v_subj(1.0.0.3).4.0,1.73709661146,0.286525683649,1.20713018406,1.54470859215,1.7296291608,1.93056564723,2.30473972943,0.00980933139977
v_subj(1.0.0.3).5.0,-6.47732687367,0.758918860275,-8.01001760386,-6.97030595428,-6.45427961284,-5.94222422858,-5.06267095391,0.0298361590731
v_subj(1.0.0.3).7.0,0.314972504069,0.347316514242,-0.348383822166,0.0785171188478,0.309264804855,0.561640686933,0.996279833009,0.00980103699678
v_subj(1.0.0.3).8.0,-4.03405744358,0.480530917098,-4.99264499567,-4.35332880804,-4.02336693585,-3.71717148878,-3.08516668115,0.0152700880212
v_subj(1.0.0.3).9.0,-3.13135024746,0.392407139298,-3.86658677414,-3.39382800051,-3.1378699361,-2.86948853188,-2.35070902638,0.0119726776177
v_subj(1.0.0.3).10.0,-4.68256925008,0.399911725998,-5.46185800394,-4.96171997235,-4.68263105609,-4.41527723575,-3.89392850847,0.0203715202329
v_subj(1.0.0.3).12.0,-4.60120063235,0.487535806867,-5.53767651462,-4.9196555864,-4.59672685707,-4.2714278931,-3.68824891851,0.0263916886598
v_subj(1.0.0.3).13.0,-2.82263734648,0.383127257787,-3.57019652463,-3.08963081278,-2.82238377371,-2.5568899532,-2.06898377428,0.0114898390157
v_subj(1.0.0.3).14.0,-3.26743933879,0.334440636555,-3.93648094466,-3.48546038439,-3.27226694895,-3.04080543535,-2.6007711723,0.0106059862252
v_subj(1.0.0.3).15.0,-3.26405603129,0.637948591276,-4.70238079765,-3.64777448969,-3.21260445836,-2.80754274484,-2.16927577298,0.0301058266528
v_subj(1.0.0.3).16.0,-3.36349242754,0.374127339255,-4.10825362622,-3.60679796687,-3.36447980537,-3.11345378869,-2.62989476891,0.0111521052115
v_subj(1.0.0.3).17.0,-4.15936912923,0.529639871963,-5.19606330562,-4.52256565345,-4.15257518753,-3.79670015686,-3.10202892968,0.0210346947445
v_subj(1.0.0.3).19.0,-3.62431028574,0.373576872026,-4.33221427399,-3.8963108452,-3.61815084217,-3.36369159695,-2.88531726271,0.018778364362
v_subj(1.0.0.3).20.0,-2.97129073986,0.336369518298,-3.62534219136,-3.19487952891,-2.96750623903,-2.74324559373,-2.31537347638,0.012048938473
v_subj(1.0.0.7).2.0,-1.81821755689,0.402875352405,-2.57722681707,-2.09391834881,-1.82081632786,-1.54424920619,-1.03143766596,0.0130359180864
v_subj(1.0.0.7).3.0,4.63819844827,0.487726634934,3.71244874127,4.29639444167,4.62563573398,4.97009329165,5.62288975343,0.0205894600063
v_subj(1.0.0.7).4.0,2.06049394673,0.328576575636,1.40615845664,1.83354441582,2.0647713679,2.27499947808,2.7175505578,0.0109499003447
v_subj(1.0.0.7).5.0,-2.056401601,0.427824625842,-2.94862245288,-2.33549502608,-2.04765538556,-1.76746300776,-1.21567430882,0.0137870626754
v_subj(1.0.0.7).7.0,-0.795353408199,0.364973974206,-1.53154408591,-1.03635554632,-0.795825017451,-0.557159211859,-0.0876933357763,0.011979075065
v_subj(1.0.0.7).8.0,0.197036767143,0.457352052329,-0.677024686921,-0.113008063887,0.193795980842,0.501991664812,1.12009922959,0.0135251119584
v_subj(1.0.0.7).9.0,-1.39587503037,0.403829502018,-2.19084421889,-1.66682253164,-1.39958831752,-1.12502102963,-0.605613751663,0.014099680576
v_subj(1.0.0.7).10.0,-3.65648823578,0.37033108435,-4.34649144942,-3.90231507544,-3.66307268513,-3.42344460985,-2.89333858444,0.0190841196718
v_subj(1.0.0.7).12.0,-4.16967885141,0.491969103912,-5.12759428626,-4.48979020719,-4.15853316616,-3.85141384521,-3.19109675898,0.022782351675
v_subj(1.0.0.7).13.0,1.89506494092,0.463249367042,1.01133228647,1.58370522398,1.89452717838,2.22289434307,2.77403828343,0.0163308736914
v_subj(1.0.0.7).14.0,-2.72665676021,0.412461456632,-3.53813898337,-2.99612510923,-2.71821089322,-2.44497365758,-1.94832499705,0.0155933612631
v_subj(1.0.0.7).15.0,-0.997371196992,0.238939074639,-1.46786635527,-1.16053288544,-0.988021129943,-0.834141838548,-0.548391725483,0.00556072524182
v_subj(1.0.0.7).16.0,-3.24582436563,0.399485045217,-4.02502658211,-3.51597319248,-3.25284940034,-2.97060817203,-2.43835460214,0.0147409754593
v_subj(1.0.0.7).17.0,0.391687262956,0.370725161207,-0.337129515711,0.145922257588,0.394049560139,0.644838513223,1.09229603725,0.0114815172117
v_subj(1.0.0.7).19.0,-4.4946029724,0.387077618629,-5.24601962254,-4.75422429514,-4.49913605482,-4.22462006285,-3.76982441173,0.0187846841941
v_subj(1.0.0.7).20.0,2.23763748777,0.416279376662,1.42438109272,1.95355576681,2.24188517839,2.52749365078,3.02052486127,0.0148098504092
v_subj(1.0.0.85).2.0,-4.89385567874,0.549839099501,-5.99384120529,-5.26485059159,-4.86946271598,-4.53595552434,-3.8026156655,0.0225442084564
v_subj(1.0.0.85).3.0,4.84134376612,0.480482429544,3.94154363817,4.48789282966,4.84373908534,5.17160954442,5.76111059708,0.0216883717975
v_subj(1.0.0.85).4.0,3.94794662269,0.371838122215,3.2185249973,3.69203371387,3.95532881348,4.2013007401,4.66501200386,0.0117379819166
v_subj(1.0.0.85).5.0,-2.88087601549,0.493170274322,-3.88497713103,-3.20681930747,-2.88218309181,-2.55121008223,-1.90747161147,0.0192400044505
v_subj(1.0.0.85).7.0,5.14617522878,0.477574821756,4.25290340285,4.81398572905,5.15169522739,5.45484659918,6.18768711051,0.0152011182519
