,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.493,0.873588621182,0.0179689041128,0.83969306777,0.861298628334,0.873541838136,0.885605078223,0.908859330712,0.000680930497527
a_subj.494,0.950417641645,0.0238361450695,0.909180051454,0.933155072921,0.949612514245,0.966426794115,0.997151145244,0.000995975627524
v(0.0),-3.24262001338,0.363558884493,-3.93292328739,-3.49564482402,-3.23979132565,-2.99594457597,-2.51352573365,0.00937796203476
v(0.1),-3.35826580413,0.358935447027,-4.03552359054,-3.58847842932,-3.36998236188,-3.12694852269,-2.61783303183,0.0100031078496
v(0.2),-2.62998328994,0.359820238305,-3.32947188155,-2.87385109776,-2.62917308925,-2.38285209857,-1.90952166993,0.00893667787886
v(0.3),-2.15087582146,0.351579089023,-2.86964113879,-2.37640200592,-2.15319161722,-1.91938411735,-1.48698700753,0.00955374371943
v(1.0),-3.01898849988,0.354504527528,-3.72207920612,-3.25910128592,-3.02101927971,-2.77442199352,-2.32332352117,0.00986322632723
v(1.1),-2.89712381916,0.355890663588,-3.58439851889,-3.13202467304,-2.89818062004,-2.66081989526,-2.1985261468,0.00923797549073
v(1.2),-2.34505797189,0.363699092301,-3.0274620271,-2.59617059838,-2.33612746272,-2.09728565052,-1.59124218322,0.00935097473234
v(1.3),-1.89244184748,0.353662689303,-2.59605962807,-2.12727993409,-1.89189644623,-1.65490972734,-1.21396661104,0.00803017506726
v(2.0),-1.58160040577,0.343117352466,-2.26909083725,-1.81626721535,-1.58389427819,-1.34559050861,-0.891579552362,0.00909069688138
v(2.1),-1.67127429744,0.344295302113,-2.35004334239,-1.91239378771,-1.6693003766,-1.42257012484,-0.99193366821,0.00800374479237
v(2.2),-0.829446951593,0.345938868998,-1.50815094701,-1.06654325399,-0.82826554477,-0.596132190083,-0.126079716174,0.00707979389906
v(2.3),-0.00471709249386,0.349570515138,-0.714641468687,-0.235831770677,0.00322202136787,0.225067107177,0.698875554841,0.00900610980625
v(3.0),0.268766746109,0.350120660536,-0.400864328595,0.0315193268972,0.271817305849,0.496948375248,0.987683943269,0.00888328129042
v(3.1),0.436981424541,0.353066245544,-0.258395437681,0.198957345354,0.435660989083,0.683464746799,1.12404852478,0.00779725506923
v(3.2),0.905708617971,0.350984726899,0.19599930074,0.662995797591,0.900494980709,1.1557411218,1.55853571723,0.00964879422752
v(3.3),1.2083217551,0.343700141353,0.534213839217,0.98586022602,1.2085712912,1.44262956635,1.87482865518,0.00853618661787
v_std,1.47904300304,0.0707610661327,1.34699005524,1.43069868841,1.47667277977,1.5242711243,1.63177765364,0.00235792485331
v_subj(0.0).374,-3.63607528167,0.411051655252,-4.45204377206,-3.89059012158,-3.63697234253,-3.37332863522,-2.81434448222,0.0109567757833
v_subj(0.0).474,-3.8161682356,0.470220399789,-4.76989964728,-4.13389848843,-3.8144029687,-3.49133521846,-2.90706607268,0.0126897824154
v_subj(0.0).475,-3.66488922601,0.444622555997,-4.57214108594,-3.95261852388,-3.6523455834,-3.362008062,-2.80912020858,0.0117698010556
v_subj(0.0).476,-4.0468393189,0.421962450003,-4.89740557781,-4.33842945525,-4.02989755703,-3.7588328318,-3.24733605375,0.0119516164545
v_subj(0.0).478,-3.5908754266,0.43686304386,-4.46765589107,-3.88063290605,-3.59721093865,-3.30010949457,-2.73482319997,0.0107335784734
v_subj(0.0).479,-3.33944089395,0.389023592478,-4.09619516072,-3.60877112508,-3.34579595102,-3.06613073046,-2.5931288747,0.00965562397611
v_subj(0.0).480,-2.67535868715,0.431755295136,-3.54064012159,-2.96032339004,-2.65247310756,-2.36272897396,-1.85232647281,0.012658786713
v_subj(0.0).481,-3.89890305749,0.470120611645,-4.83582413042,-4.21688732672,-3.89946544963,-3.57879533524,-3.00004472658,0.0129400772146
v_subj(0.0).482,-2.67573520739,0.348757693983,-3.35717552269,-2.90573306545,-2.66860785416,-2.44630427857,-2.00391054879,0.00936989641956
v_subj(0.0).483,-4.55131489072,0.413688635393,-5.33042234347,-4.83446958513,-4.55647352603,-4.27002646864,-3.76421287818,0.0129187644928
v_subj(0.0).484,-4.07818743127,0.473370307517,-5.02657223397,-4.39858444919,-4.07146320452,-3.75291029983,-3.14683453289,0.0119695459749
v_subj(0.0).485,-3.64017777723,0.417747324114,-4.43769201654,-3.925052266,-3.65236909807,-3.37161374347,-2.82699184807,0.012475216392
v_subj(0.0).486,-3.23808992077,0.351620218467,-3.92229746604,-3.47981867955,-3.22753065876,-3.00243612007,-2.57793093521,0.00998491688301
v_subj(0.0).487,-0.540598866902,0.412401263515,-1.34596147379,-0.8231284497,-0.540168871569,-0.262508111146,0.282598226046,0.0102640985659
v_subj(0.0).488,-2.93235974069,0.401332395002,-3.70607285857,-3.19837602321,-2.9314884386,-2.6730214308,-2.15339853498,0.0100801282909
v_subj(0.0).489,-0.837644702085,0.461105743542,-1.70931296185,-1.14634736794,-0.841443171551,-0.533578533513,0.0563941064013,0.0114983391074
v_subj(0.0).492,-4.48159245787,0.610485350736,-5.67879134717,-4.8792031715,-4.48753626728,-4.050071473,-3.31368457261,0.0152584320715
v_subj(0.0).493,-3.15470810259,0.410473400088,-3.97724412304,-3.43988584914,-3.15469628757,-2.85740277194,-2.3546075486,0.0113529459724
v_subj(0.0).494,-4.40148241806,0.447017048121,-5.24723623362,-4.70046945178,-4.42168924231,-4.09970565369,-3.51175794511,0.0107437079476
v_subj(0.1).374,-3.82105690753,0.404214219171,-4.61139992933,-4.09943743893,-3.81790198924,-3.55128754045,-3.00016197017,0.00892342155344
v_subj(0.1).474,-4.326317326,0.452479616796,-5.21974036308,-4.63382369059,-4.32204337661,-4.00716320261,-3.46177755657,0.0124989734423
v_subj(0.1).475,-3.61826713471,0.416397352723,-4.42774514041,-3.8835564153,-3.60097152624,-3.34955643252,-2.79386919154,0.0121880103013
v_subj(0.1).476,-3.8684040337,0.406583802539,-4.70618380418,-4.14667402535,-3.86634040961,-3.58182371897,-3.10184481495,0.0113742564873
v_subj(0.1).478,-3.9207660431,0.444348384928,-4.83241082429,-4.21083975237,-3.91826982513,-3.62876707367,-3.01330539577,0.0126136527145
v_subj(0.1).479,-3.65352222931,0.396235500577,-4.45987649061,-3.91154477674,-3.64695400048,-3.39774453204,-2.84524107954,0.0101372776503
v_subj(0.1).480,-3.45600202484,0.379810642027,-4.16805156839,-3.7112084191,-3.45416945526,-3.19885365845,-2.69290281829,0.0118766740209
v_subj(0.1).481,-4.22012897133,0.456959252756,-5.08645563228,-4.52443477061,-4.23113146104,-3.92246468145,-3.33357843585,0.0125929694156
v_subj(0.1).482,-2.77720228676,0.36679921591,-3.49594611808,-3.01774323216,-2.77551582059,-2.52996931046,-2.04248004871,0.00907755521034
v_subj(0.1).483,-4.45106062773,0.405274962864,-5.2250333181,-4.72156618253,-4.46188536071,-4.16371352226,-3.64541257826,0.0126512313248
v_subj(0.1).484,-4.3774047386,0.476339050985,-5.31478609939,-4.69089301784,-4.37556987992,-4.05132725133,-3.44704454699,0.0125043317628
v_subj(0.1).485,-3.24708725246,0.402612598443,-4.03657410077,-3.50975903736,-3.25145589277,-2.98388476535,-2.44552083435,0.0102476037341
v_subj(0.1).486,-3.17214240261,0.351272634436,-3.89164294427,-3.40412965491,-3.16527131841,-2.93052144564,-2.49874373583,0.0093007701443
v_subj(0.1).487,0.375190655886,0.46715945928,-0.521681599545,0.0681796852103,0.376214077122,0.687277684695,1.29124612985,0.0123772128679
v_subj(0.1).488,-3.17224144356,0.432790654143,-4.00009896361,-3.48042512179,-3.18046404701,-2.87561078339,-2.27749773099,0.0112483442323
v_subj(0.1).489,-0.532958014238,0.432273156358,-1.33752717815,-0.83769458908,-0.530099672019,-0.23949091242,0.332918953602,0.0107302262655
v_subj(0.1).492,-4.94281644552,0.620292985874,-6.1906365828,-5.37201549844,-4.9494618479,-4.53380139357,-3.74731178999,0.0162680161804
v_subj(0.1).493,-3.4577552602,0.432024963641,-4.32211131577,-3.74447111302,-3.44711368757,-3.15627363426,-2.60943096737,0.010266987649
v_subj(0.1).494,-4.32383712015,0.449572592239,-5.17350319794,-4.62179921085,-4.33563426278,-4.01270431012,-3.4475374752,0.0127523770553
v_subj(0.2).374,-2.99828319639,0.356439855308,-3.70374504477,-3.24137887472,-2.99538972375,-2.75525249697,-2.29953815754,0.00943293617893
v_subj(0.2).474,-3.18838471446,0.410821499047,-3.97398496373,-3.47044248669,-3.18575070725,-2.89533064306,-2.39256954416,0.0111492311332
v_subj(0.2).475,-3.47497761049,0.42179373725,-4.29923687277,-3.75738013631,-3.47525239865,-3.19003722938,-2.66053940278,0.0112694339569
v_subj(0.2).476,-3.38083056924,0.361783131615,-4.08254838234,-3.63150673974,-3.3824869086,-3.14460755746,-2.65949705077,0.00988643098261
v_subj(0.2).478,-3.81366968462,0.47486286298,-4.75257120528,-4.11769278816,-3.80506615459,-3.5009249716,-2.86271999607,0.0136659912835
v_subj(0.2).479,-3.06885735333,0.355011264015,-3.77941595133,-3.2994872193,-3.07006776634,-2.83028505667,-2.39402578555,0.00899795689864
v_subj(0.2).480,-3.10829023039,0.361304899738,-3.83397703115,-3.34689244506,-3.11375899013,-2.85774355411,-2.40766924534,0.0109593155232
v_subj(0.2).481,-2.86656621508,0.440866538334,-3.76359636394,-3.16326639853,-2.85176585463,-2.56755335195,-2.02021256121,0.0111818193874
v_subj(0.2).482,-1.52725325781,0.328601765687,-2.1912634901,-1.75422116432,-1.52011719816,-1.30903312789,-0.898684757719,0.00797235162933
v_subj(0.2).483,-3.70147286164,0.364313058057,-4.4331693138,-3.94972783396,-3.69075924976,-3.46009940077,-3.00682480308,0.0113371108574
v_subj(0.2).484,-2.7905143918,0.367839356135,-3.50776398516,-3.05137237107,-2.79735210309,-2.53370601697,-2.08179570252,0.010019457868
v_subj(0.2).485,-3.12431590876,0.3572126268,-3.82715102085,-3.36299810216,-3.13059073823,-2.87579255872,-2.43014981741,0.00978771466885
v_subj(0.2).486,-3.18636833961,0.332311938799,-3.84102450017,-3.39957870712,-3.18503440497,-2.96886894755,-2.5350945677,0.00892785813477
v_subj(0.2).487,1.71501960133,0.407543110509,0.92878834029,1.43661956498,1.71684417654,1.98289684805,2.5220649939,0.010396900616
v_subj(0.2).488,-2.80840418701,0.444397903085,-3.75905385162,-3.10240640871,-2.78506238249,-2.50798861007,-1.95935627484,0.0105893986849
v_subj(0.2).489,-0.272586754227,0.436530728538,-1.13907492161,-0.565613229271,-0.271732890953,0.0269577690812,0.587909107233,0.00973010381886
v_subj(0.2).492,-4.12046120112,0.553804564793,-5.19832067803,-4.49153795099,-4.11296007446,-3.75981273674,-2.9995518326,0.0165784350156
v_subj(0.2).493,-1.93368559342,0.387854329661,-2.71975439837,-2.20158648944,-1.92664669176,-1.67295071083,-1.20931862445,0.00991160460506
v_subj(0.2).494,-3.51778343925,0.404459247245,-4.33593154318,-3.7953855926,-3.51192058452,-3.23781235946,-2.7632484607,0.0109012618791
v_subj(0.3).374,-3.00193969424,0.355128450983,-3.72797498093,-3.23218017721,-3.00216227094,-2.77248445307,-2.28725185909,0.0076527318127
v_subj(0.3).474,-3.04540884306,0.405993713418,-3.85086692138,-3.31722309814,-3.02684899607,-2.77894273035,-2.2534130387,0.0104619878813
v_subj(0.3).475,-2.17213569344,0.443853226688,-3.03157533601,-2.46236082721,-2.17241067948,-1.87168420779,-1.29888459661,0.010980428959
v_subj(0.3).476,-3.02536672944,0.368526812448,-3.74779012711,-3.27207815088,-3.02565985223,-2.77883101193,-2.31164741917,0.00952881013594
v_subj(0.3).478,-3.48835195716,0.474999224054,-4.41418835369,-3.81669431528,-3.48354906235,-3.16517383558,-2.54698469167,0.012581022997
v_subj(0.3).479,-3.15715800145,0.347296762956,-3.84401135621,-3.37873781756,-3.1633449745,-2.93038511673,-2.48263500318,0.010529492969
v_subj(0.3).480,-2.65605947854,0.363910207474,-3.37128062274,-2.90265292352,-2.65056030204,-2.40338581121,-1.94884015015,0.0104014297556
v_subj(0.3).481,-2.43270460861,0.378060517098,-3.18427181711,-2.68090677801,-2.44065974352,-2.16924750034,-1.69304285737,0.0110007233995
v_subj(0.3).482,-1.43664316754,0.334356587334,-2.08675225468,-1.66549823657,-1.43266722178,-1.21351705736,-0.780707654787,0.00772399223078
v_subj(0.3).483,-2.37312243064,0.33762742591,-3.02740418025,-2.60058581672,-2.35671509369,-2.1444933794,-1.73834369903,0.0105432660536
v_subj(0.3).484,-1.90705306642,0.38970675473,-2.66014879812,-2.16310200912,-1.900800632,-1.64973767981,-1.10875948636,0.00952889685961
v_subj(0.3).485,-2.30481281741,0.350098320088,-2.96248584453,-2.53505692971,-2.3160552469,-2.0665352032,-1.6095478124,0.00923374618694
v_subj(0.3).486,-2.7081205911,0.311501426782,-3.3262124359,-2.91575752098,-2.71053914443,-2.48262249238,-2.11682176474,0.00895496466515
v_subj(0.3).487,1.64307494085,0.412648533179,0.830558066193,1.37254770603,1.64040589218,1.9228543026,2.43365891653,0.0111462738269
v_subj(0.3).488,-1.10169987482,0.372442825202,-1.81770378677,-1.36344057473,-1.10106879664,-0.839302908115,-0.4023422307,0.00895937039684
v_subj(0.3).489,-0.335455107608,0.391208356911,-1.12120599478,-0.593941169101,-0.337730157602,-0.0604761708541,0.40495179373,0.0088638599281
v_subj(0.3).492,-4.08135087292,0.622437459779,-5.31131477699,-4.50633875644,-4.0647566217,-3.64875577942,-2.89312468246,0.0169434173633
v_subj(0.3).493,-1.25249104445,0.362535922409,-1.9519352241,-1.50051463085,-1.25080528453,-0.992969389347,-0.560278825126,0.00875816217745
v_subj(0.3).494,-3.06649946549,0.384968049366,-3.82199998394,-3.32415236572,-3.06220948903,-2.8137261566,-2.2931302151,0.0103167427312
v_subj(1.0).374,-3.33057823194,0.401705964328,-4.10156710715,-3.58945553559,-3.33412448296,-3.05012212503,-2.54709542439,0.0103020607836
v_subj(1.0).474,-4.23175605367,0.470896522064,-5.11689502909,-4.55439863114,-4.2348395242,-3.92100896111,-3.28032379311,0.0120919523253
